,Suburb,Location,Region,Reported,Updated,Type,Information
6424,Moreland,Sydney Road,Melbourne-metropolitan,"13 Oct, 2016 - 3:39 PM","13 Oct, 2016 - 3:51 PM",Road Reopened - Vehicle Collision,0
6425,Whitehorse,Elgar Road,Melbourne-metropolitan,"13 Oct, 2016 - 3:22 PM","13 Oct, 2016 - 3:23 PM",Traffic Alert - Emergency Works,"Left lane closed southbound at Allision Rd, for emergency gas works. Speed limit reduced to 40km/h. Works expected to finish by 6.00pm. VicRoads advises motorists to allow extra time. "
6426,Swan-hill,Best Street (C246),Loddon-mallee,"13 Oct, 2016 - 2:40 PM","16 Oct, 2016 - 8:19 AM",Road Reopened - Flood,0
6427,Wodonga,Murray Valley Highway (B400),Hume,"13 Oct, 2016 - 1:09 PM","13 Oct, 2016 - 5:11 PM",Traffic Alert - Vehicle Collision,"The speed limit has been reduced to 60km/h between Kiewa Valley Hwy and Whites Rd, due to the remnants of an oil spill on the road. All lanes are now open, after an earlier collision. "
6428,Geelong,Bellarine Highway (B110),Barwon,"13 Oct, 2016 - 12:16 PM","13 Oct, 2016 - 12:17 PM",Traffic Alert - Emergency Works,Inbound left lane closed at Coppards Road for utility works. Speed limits have been reduced to 40km/h. Works are expected to finish by 3.30pm. VicRoads advises to take care when travelling through the area. 
6429,Dandenong,Greens Road,Melbourne-metropolitan,"13 Oct, 2016 - 11:40 AM","13 Oct, 2016 - 11:44 AM",Traffic Alert - Emergency Works,Inbound left lane closed at Nicole Way for utility works. Speed limits have been reduced to 40km/h. Works are expected to finish by 3.30pm. VicRoads advises to take care when travelling through the area. 
6430,Whitehorse,Canterbury Road,Melbourne-metropolitan,"14 Oct, 2016 - 10:46 AM","14 Oct, 2016 - 10:47 AM",Traffic Alert - Emergency Works,Outbound left lane closed near Kitchener Street for utility works. Speed limits have been reduced to 40km/h. Works expected to finish at 3.00pm. VicRoads advises to take care when travelling through the area. 
6431,Manningham,Tram Road,Melbourne-metropolitan,"14 Oct, 2016 - 10:39 AM","14 Oct, 2016 - 10:41 AM",Traffic Alert - Emergency Works,Inbound left lane closed near Doncaster Road for utility works. Speed limits have been reduced to 40km/h. Works expected to finish at 2.30pm. VicRoads advises to take care when travelling through the area. 
6432,Frankston,Peninsula Link Freeway (M11),Melbourne-metropolitan,"14 Oct, 2016 - 10:33 AM","14 Oct, 2016 - 1:38 PM",Incident Cleared - Emergency Works,0
6433,Hume,Pascoe Vale Road,Melbourne-metropolitan,"14 Oct, 2016 - 10:33 AM","14 Oct, 2016 - 10:35 AM",Traffic Alert - Emergency Works,Outbound left lane closed near Paringa Street for utility works. Speed limits have been reduced to 40km/h. Works expected to finish at 3.00pm. VicRoads advises to take care when travelling through the area. 
6434,Moreland,Citylink,Melbourne-metropolitan,"14 Oct, 2016 - 10:30 AM","14 Oct, 2016 - 11:02 AM",All Lanes Now Open - Vehicle Breakdown,0
6435,Glen-eira,East Boundary Road,Melbourne-metropolitan,"14 Oct, 2016 - 10:02 AM","14 Oct, 2016 - 10:03 AM",Traffic Alert - Emergency Works,Left lane closed northbound at Catherine St for water works. Speed limit reduced to 40km/h. Works expected to be comlpeted by 3:00pm. 
6436,Knox,Scoresby Road,Melbourne-metropolitan,"14 Oct, 2016 - 9:51 AM","14 Oct, 2016 - 9:52 AM",Traffic Alert - Emergency Works,Southbound left lane closed near Amelia Street for utility works. Speed limits have been reduced to 40km/h. Works are expected to finish at 2.00pm. VicRoads advises to take care when travelling through the area. 
6437,Yarra-ranges,Warburton Highway (B380),Melbourne-metropolitan,"14 Oct, 2016 - 9:47 AM","14 Oct, 2016 - 9:48 AM",Traffic Alert - Emergency Works,1 lane closed with shuttle flow near George Street for utility works. Speed limits have been reduced to 40km/h. Works are expected to finish by 3.30pm. VicRoads advises to take care when travelling through the area. 
6438,Darebin,High Street,Melbourne-metropolitan,"14 Oct, 2016 - 8:36 AM","14 Oct, 2016 - 8:37 AM",Traffic Alert - Emergency Works,Contra flow in place near Seymour St for crane lift. Allow extra time if travelling through the area. Avoid if possible. 
6439,Casey,Pound Road,Melbourne-metropolitan,"14 Oct, 2016 - 8:33 AM",0,Traffic Alert - Vehicle Collision,Collision at Shrives Rd affecting traffic in all directions. Emergency Services on site. Avoid the area if possible. 
6440,Hume,Western Ring Road (M80),Melbourne-metropolitan,"14 Oct, 2016 - 5:06 PM","14 Oct, 2016 - 5:07 PM",1 lane closed westbound - Vehicle Breakdown,Breakdown near Tulla Fwy blocking middle lane Altona-bound. Traffic slow on approach. 
6441,Brimbank,Western Ring Road (M80),Melbourne-metropolitan,"14 Oct, 2016 - 4:09 PM","14 Oct, 2016 - 4:10 PM",1 lane closed westbound - Vehicle Breakdown,Truck breakdown near Airport Dr blocking left lane Altona-bound. VicRoads and heavy haulage on site. 
6442,Moonee-valley,Citylink,Melbourne-metropolitan,"14 Oct, 2016 - 1:22 PM","14 Oct, 2016 - 1:39 PM",All Lanes Now Open - Vehicle Collision,0
6443,Melbourne,West Gate Freeway (M1),Melbourne-metropolitan,"14 Oct, 2016 - 12:46 PM","14 Oct, 2016 - 1:38 PM",All Lanes Now Open - Vehicle Breakdown,0
6444,Wodonga,Hume Freeway (M31),Hume,"14 Oct, 2016 - 12:10 PM","14 Oct, 2016 - 12:23 PM",1 lane closed northbound - Vehicle Collision,Hume Fwy near Greenhill Rd. Right lane closed while truck recovery works take place after truck ran off the road this morning. 
6445,Whittlesea,Cooper Street,Melbourne-metropolitan,"14 Oct, 2016 - 11:50 AM","14 Oct, 2016 - 11:51 AM",Traffic Alert - Emergency Works,Eastbound left lane closed between Edgars Road and Miller Street for utility works. Speed limits have been reduced to 40km/h. Works expected to finish at 3.00pm. VicRoads advises to take care when travelling through the area. 
6446,Bayside,Bay Road,Melbourne-metropolitan,"14 Oct, 2016 - 11:45 AM","14 Oct, 2016 - 11:46 AM",Traffic Alert - Emergency Works,Inbound left lane closed near Lansell Avenue for utility works. Speed limits have been reduced to 40km/h. Works expected to finish at 3.00pm. VicRoads advises to take care when travelling through the area. 
6447,Whitehorse,Canterbury Road,Melbourne-metropolitan,"14 Oct, 2016 - 11:43 AM","14 Oct, 2016 - 11:44 AM",Traffic Alert - Emergency Works,Inbound left lane closed near Edinburgh Street for utility works. Speed limits have been reduced to 40km/h. Works expected to finish at 3.30pm. VicRoads advises to take care when travelling through the area. 
6448,Knox,Dorset Road,Melbourne-metropolitan,"14 Oct, 2016 - 11:10 AM","14 Oct, 2016 - 11:11 AM",Traffic Alert - Emergency Works,Southbound left lane closed near Pine Crescent for utility works. Speed limits have been reduced to 40km/h. Works expected to finish at 3.00pm. VicRoads advises to take care when travelling through the area. 
6449,Maribyrnong,Raleigh Road,Melbourne-metropolitan,"14 Oct, 2016 - 11:03 AM","14 Oct, 2016 - 11:05 AM",Traffic Alert - Emergency Works,Eastbound left lane closed near Rosamond Road for utility works. Speed limits have been reduced to 40km/h. Works expected to finish at 3.30pm. VicRoads advises to take care when travelling through the area. 
6450,Warrnambool,Raglan Parade (A1),Barwon,"15 Oct, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 07:30 AM to 07:30 PM. Event speed limit nil. Traffic delay 0 to 5 min.
6451,Warrnambool,Raglan Parade (A1),Barwon,"15 Oct, 2016 - 12:00 AM",0,Sporting/Social Event - 1 lane closed westbound,Event from 07:30 AM to 07:30 PM. Event speed limit 50 km/h. Traffic delay greater than 10 min.
6452,Wellington,"South Gippsland Highway (A440, C485)",Gippsland,"15 Oct, 2016 - 12:00 AM",0,Sporting/Social Event - expect delays,Event from 08:00 AM to 05:00 PM. Event speed limit 40 km/h. Traffic delay greater than 10 min.
6453,Southern-Grampians,Parker Street (B160),Barwon,"15 Oct, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 07:00 AM to 06:00 PM. Event speed limit 40 km/h. Traffic delay 0 to 5 min.
6454,Murrindindi,Murchison Street (C512),Hume,"15 Oct, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 12:00 PM to 01:15 PM. Event speed limit nil. Traffic delay 0 to 5 min.
6455,Indigo,Camp Street (C525),Hume,"15 Oct, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Event from 06:30 AM to 07:45 AM. Event speed limit nil. Traffic delay 0 to 5 min.
6456,Melbourne,Curzon Street,Melbourne-metropolitan,"15 Oct, 2016 - 12:00 AM","16 Oct, 2016 - 12:00 AM",Sporting/Social Event - road closed,Spring Fling community event. Curzon St between Victoria St and Queensberry St closed for traffic but trams in operation.Expect traffic delay 6 to 10 min.
6457,Melton,Hopkins Road (C702),Melbourne-metropolitan,"15 Oct, 2016 - 12:00 AM","16 Oct, 2016 - 12:00 AM",Sporting/Social Event - expect delays,"Public Event - Sunday 16 October 2016.  Expect delays at the intersection of Hopkins Road and Neale Road, Rockbank."
6458,Loddon,Dunolly-Moliagul Road (C278),Loddon-mallee,"14 Oct, 2016 - 9:51 PM","15 Oct, 2016 - 5:07 AM",Road Reopened - Vehicle Collision,0
6459,Hume,Western Ring Road (M80),Melbourne-metropolitan,"14 Oct, 2016 - 5:37 PM","14 Oct, 2016 - 5:38 PM",1 lane closed westbound - Vehicle Collision,Collision near Sydney Rd blocking right lane Altona-bound. Traffic heavy on approach. 
6460,Melbourne,Burnley Tunnel (M1),Melbourne-metropolitan,"17 Oct, 2016 - 8:31 AM","17 Oct, 2016 - 9:08 AM",All Lanes Now Open - Vehicle Breakdown,0
6461,Knox,Stud Road,Melbourne-metropolitan,"17 Oct, 2016 - 7:47 AM","17 Oct, 2016 - 7:48 AM",Traffic Alert - Vehicle Breakdown,Truck breakdown at Wellington Rd blocking middle lane northbound. Heavy haulage on the way. 
6462,Hobsons-bay,Kororoit Creek Road,Melbourne-metropolitan,"17 Oct, 2016 - 7:28 AM","17 Oct, 2016 - 7:33 AM",All lanes closed eastbound - Vehicle Collision,Car into pole has all inbound lanes closed between Princes Fwy and Maidstone St. Emergency Services on site. Avoid and seek alt route. Point Cook Rd > Central Ave > Millers Rd is one alternative. 
6463,Colac-otway,Great Ocean Road (B100),Barwon,"16 Oct, 2016 - 5:48 PM","18 Oct, 2016 - 10:14 AM",Road Reopened - Road Damage,0
6464,Moreland,Moreland Road,Melbourne-metropolitan,"16 Oct, 2016 - 8:24 AM","16 Oct, 2016 - 8:28 AM",Incident Cleared - Emergency Works,0
6465,Melbourne,Alexandra Avenue,Melbourne-metropolitan,"16 Oct, 2016 - 5:05 AM","16 Oct, 2016 - 8:12 AM",Road Reopened - Vehicle Collision,0
6466,Melbourne,St Kilda Road,Melbourne-metropolitan,"16 Oct, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Melbourne Marathon on Sunday 16 October 2016. Expect traffic delay. Follow detours. For details check  
6467,Mornington-peninsula,Main Street (C782),Melbourne-metropolitan,"16 Oct, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,Road closed from 06:00 AM to 07:00 PM. Signed detour via local roads. Traffic delay 0 to 5 min.
6468,Melbourne,St Kilda Road,Melbourne-metropolitan,"16 Oct, 2016 - 12:00 AM",0,Sporting/Social Event - road closed,"Melbourne Marathon. Many roads closed on Sunday 16 October, including Beach Road, St Kilda Road centre carriageway and service roads, Alexandra Avenue, Follow detour. Expect traffic delay. "
6469,Nillumbik,Eltham-Yarra Glen Road (C726),Melbourne-metropolitan,"15 Oct, 2016 - 12:58 AM","15 Oct, 2016 - 6:28 AM",Road Reopened - Vehicle Collision,0
6470,Frankston,Nepean Highway,Melbourne-metropolitan,"17 Oct, 2016 - 12:03 PM","17 Oct, 2016 - 12:04 PM",Traffic Alert - Emergency Works,One lane closed in each direction near Plummer Ave for works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
6471,Moira,River Road,Hume,"17 Oct, 2016 - 11:29 AM","24 Nov, 2016 - 10:09 AM",Road Reopened - Flood,0
6472,Moira,Pelluebla Road,Hume,"17 Oct, 2016 - 11:23 AM","17 Oct, 2016 - 12:12 PM",Road Reopened - Flood,0
6473,Manningham,Doncaster Road,Melbourne-metropolitan,"17 Oct, 2016 - 10:31 AM","17 Oct, 2016 - 10:32 AM",Traffic Alert - Emergency Works,Left lane closed inbound near Williamsons Rd for telecoms works. Speed limit reduced to 40km/h. Works expected to be completed by 3:30pm. 
6474,Melbourne,Royal Parade,Melbourne-metropolitan,"17 Oct, 2016 - 10:21 AM","17 Oct, 2016 - 12:54 PM",Road Reopened - Emergency Incident,0
6475,Moreland,Cumberland Road,Melbourne-metropolitan,"17 Oct, 2016 - 9:51 AM","17 Oct, 2016 - 9:52 AM",Traffic Alert - Emergency Works,Inbound left lane closed near Essex Street for utility works. Speed limits have been reduced to 40km/h. Works expected to finish by 2.00pm. VicRoads advises to take care when travelling through the area. 
6476,Whitehorse,Elgar Road,Melbourne-metropolitan,"17 Oct, 2016 - 9:46 AM","17 Oct, 2016 - 9:48 AM",Traffic Alert - Emergency Works,Outbound left lane closed near Riversdale Road for utility works. Speed limits have been reduced to 40km/h. Works expected to finish by 1.00pm. VicRoads advises to take care when travelling through the area. 
6477,Dandenong,Stud Road,Melbourne-metropolitan,"17 Oct, 2016 - 9:43 AM","17 Oct, 2016 - 9:44 AM",Traffic Alert - Emergency Works,Outbound left lane closed near Leed Street for utility works. Speed limits have been reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises to take care when travelling through the area. 
6478,Boroondara,Studley Park Road,Melbourne-metropolitan,"17 Oct, 2016 - 9:38 AM","17 Oct, 2016 - 9:42 AM",Traffic Alert - Emergency Works,Two outbound left lanes closed near Banool Avenue for utility works. Contraflow in effect. Speed limits have been reduced to 40km/h. Works expected to finish by 3.00pm. VicRoads advises to take care when travelling through the area. 
6479,Maribyrnong,West Gate Freeway (M1),Melbourne-metropolitan,"17 Oct, 2016 - 9:22 AM","17 Oct, 2016 - 11:23 AM",All Lanes Now Open - Debris,0
6480,Hobsons-bay,Princes Freeway (M1),Melbourne-metropolitan,"17 Oct, 2016 - 4:18 PM","17 Oct, 2016 - 5:20 PM",All Lanes Now Open - Vehicle Collision,0
6481,Boroondara,Eastern Freeway (M3),Melbourne-metropolitan,"17 Oct, 2016 - 3:29 PM","17 Oct, 2016 - 4:04 PM",All Lanes Now Open - Vehicle Collision,0
6482,Wodonga,Beechworth-Wodonga Road (C315),Hume,"17 Oct, 2016 - 3:26 PM","9 Dec, 2016 - 4:41 PM",Incident Cleared - Road Damage,0
6483,Mildura,Hattah-Robinvale Road (C252),Loddon-mallee,"17 Oct, 2016 - 2:14 PM","17 Oct, 2016 - 2:17 PM",Road Reopened - Vehicle Breakdown,0
6484,Moreland,Lygon Street,Melbourne-metropolitan,"17 Oct, 2016 - 1:26 PM","17 Oct, 2016 - 1:27 PM",Traffic Alert - Vehicle Collision,Collision near Blyth St has all northbound lanes closed. Emergency Services on site. Avoid the area if possible. 
6485,Yarra-ranges,Clegg Road (C402),Melbourne-metropolitan,"17 Oct, 2016 - 12:51 PM","17 Oct, 2016 - 12:52 PM",Traffic Alert - Emergency Works,Shuttle flow near Wellington Rd for power works. Speed limit reduced to 40km/h. Works expected to be completed by 5:00pm. 
6486,Melbourne,Burnley Tunnel (M1),Melbourne-metropolitan,"17 Oct, 2016 - 12:43 PM","17 Oct, 2016 - 12:44 PM",1 lane closed eastbound - Vehicle Breakdown,Truck breakdown in Burnley Tunnel. Middle lane closed eastbound. Citylink on site. 
6487,Buloke,Charlton-St Arnaud Road (C272),Loddon-mallee,"17 Oct, 2016 - 12:36 PM","21 Oct, 2016 - 12:56 PM",Road Reopened - Flood,0
6488,Moira,Pelluebla Road,Hume,"17 Oct, 2016 - 12:15 PM","24 Oct, 2016 - 10:07 AM",Road Reopened - Road Damage,0
6489,Darebin,St Georges Road,Melbourne-metropolitan,"17 Oct, 2016 - 12:06 PM","17 Oct, 2016 - 4:42 PM",Incident Cleared - Emergency Works,0
6490,Casey,Monash Freeway (M1),Melbourne-metropolitan,"18 Oct, 2016 - 9:03 AM","18 Oct, 2016 - 9:04 AM",1 lane closed outbound - Vehicle Collision,"Second left lane closed outbound near Power Rd, due to a collision. VicRoads is on the way. Delays on the approach. "
6491,Yarra,Queens Parade,Melbourne-metropolitan,"18 Oct, 2016 - 8:34 AM","18 Oct, 2016 - 8:36 AM",Traffic Alert - Emergency Works,Right lane closed in both directions near Rushall Crescent for utility works. Speed limits have been reduced to 40km/h. Works are expected to finish at 3.00pm. VicRoads advises to take care when travelling through the area. 
6492,Dandenong,Stud Road,Melbourne-metropolitan,"18 Oct, 2016 - 8:05 AM","18 Oct, 2016 - 8:07 AM",Traffic Alert - Emergency Works,Outbound left lane closed near Heatherton Road for utility works. Speed limits have been reduced to 40km/h. Works are expected to finish at 3.00pm. VicRoads advises to take care when travelling through the area. 
6493,Banyule,Lower Plenty Road,Melbourne-metropolitan,"18 Oct, 2016 - 7:50 AM","18 Oct, 2016 - 8:21 AM",All Lanes Now Open - Vehicle Collision,0
6494,Casey,South Gippsland Freeway (M420),Melbourne-metropolitan,"18 Oct, 2016 - 7:45 AM","18 Oct, 2016 - 8:43 AM",All Lanes Now Open - Vehicle Collision,0
6495,Brimbank,Western Ring Road (M80),Melbourne-metropolitan,"18 Oct, 2016 - 7:36 AM","18 Oct, 2016 - 7:38 AM",1 lane closed outbound - Vehicle Breakdown,"Middle lane closed Greensborough-bound on the EJ Whitten Bridge, due to a truck breakdown. VicRoads is on the way. Delays on the approach. "
6496,Stonnington,Kooyong Road,Melbourne-metropolitan,"18 Oct, 2016 - 7:23 AM","18 Oct, 2016 - 9:54 AM",All Lanes Now Open - Vehicle Breakdown,0
6497,Brimbank,Western Ring Road (M80),Melbourne-metropolitan,"18 Oct, 2016 - 7:19 AM","18 Oct, 2016 - 8:42 AM",All Lanes Now Open - Vehicle Breakdown,0
6498,Wyndham,Shaws Road,Melbourne-metropolitan,"18 Oct, 2016 - 6:55 AM","18 Oct, 2016 - 7:02 AM",Road Closed - Vehicle Collision,"Road closed between Stewart Dve and Templeton Crt, due to power lines down after a collision. Emergency services are on site. Please seek an alternative route. "
6499,Strathbogie,Euroa-Mansfield Road (C366),Hume,"17 Oct, 2016 - 7:18 PM","18 Oct, 2016 - 6:05 AM",Traffic Alert - Vehicle Collision,Euroa-Mansfield Rd reopened between Euroa and the Longwood-Mansfield Rd with speed reductions
6500,Yarra-ranges,Hull Road,Melbourne-metropolitan,"18 Oct, 2016 - 11:09 AM","18 Oct, 2016 - 11:12 AM",Traffic Alert - Emergency Works,Lane closed near Cambridge Road for utility works. Shuttle flow is in effect. Speed limits have been reduced to 40km/h. Works are expected to finish at 3.30pm. VicRoads advises to take care when travelling through the area. 
6501,Yarra-ranges,Monbulk Road (C404),Melbourne-metropolitan,"18 Oct, 2016 - 11:07 AM","18 Oct, 2016 - 11:08 AM",Traffic Alert - Emergency Works,Lane closed between Perrins Creek Road and Camms Road for utility works. Shuttle flow is in effect. Speed limits have been reduced to 40 km/h. Works are expected to finish at 3.00pm. VicRoads advises to take care when travelling through the area. 
